AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Department of the Army,b67960dc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912WJ-17-X-0021,"USACE District, New England",SNOTE,0720
Department of Agriculture,b6796010-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Natural Resources Conservation Service,AG-3C78-S-17-0045,Contracting Services Branch - Team 3,COMBINE  ,0628
Department of the Navy,b679602c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N6247317F4168,17,Naval Facilities Engineering Command,N6247316G1845,"NAVFAC SOUTHWEST, POINT LOMA FEAD/CODE ROPML",AWARD,0804
Department of the Air Force,b635f8e5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRTA1-17-F-0589,17,Air Force Materiel Command,null,PK/PZ Tinker AFB,AWARD,0810
Defense Logistics Agency,b6795f20-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP330017P0850,17,DLA Acquisition Locations,null,DLA Distribution,AWARD,0810
Department of Agriculture,b6795faa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-9JGP-S-17-0147,"R-5, Central CA Acquisitions Service Area, Tahoe N.F.",PRESOL,0717
Department of State,b6796094-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Acquisitions,SGE500-17-R-0040,"Regional Procurement Support Office Frankfurt, Germany",PRESOL,0301
Defense Information Systems Agency,b67960b7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Procurement Directorate,HC101317QA324,DITCO-Scott,COMBINE  ,0314
Department of the Navy,b67960c7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Space and Naval Warfare Systems Command,N66001-17-Q-8034,SPAWAR Systems Center Pacific,COMBINE  ,0717
Defense Logistics Agency,b6795f80-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8ES17T5463,DLA Troop Support - Medical - BSM,COMBINE  ,0720
Defense Logistics Agency,b6795f6c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EK17TC006,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0711
General Services Administration,b6795f8a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Acquisition Service (FAS),null,Assisted Acquisition Services Division (2QFA),FAIROPP,0726
Defense Logistics Agency,b635f99f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBV96,DLA Aviation - BSM,COMBINE  ,0718
Department of the Air Force,b635f8d5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,SPRHA4-17-R-0791,AFLCMC / AFSC / AFNWC - HILL AFB,PRESOL,0306
Department of Energy,b635f93c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Brookhaven National Laboratory (DOE Contractor),BG333752,Brookhaven,COMBINE  ,0817
Defense Logistics Agency,b6795f32-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MC17R0037,DLA Land and Maritime,PRESOL,0623
Department of Agriculture,b635f8bc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Agricultural Research Service,AG-3JL0-SS-17-0015,Northeast Area,SNOTE,0811
General Services Administration,b67960c1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Public Buildings Service (PBS),5WY0059,R8 Rocky Mtn Region Acquisition Division (47PJ00),SRCSGT,0720
Department of the Army,b67960dd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912WJ-17-Q-0090,"USACE District, New England",PRESOL,0710
Department of the Navy,b679606f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QHB47,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0731
Department of Homeland Security,b67960cc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Transportation Security Administration,HSTS05-17-Q-OTD331,Headquarters TSA,COMBINE  ,0728
Department of the Army,b635f97c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4AX14D9402ZB08,17,Defense Logistics Agency Detachment,null,DLA Aviation and Missile Command (Aviation),AWARD,0810
Department of Veterans Affairs,b679611b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northern California Health Care System,VA26117Q0697,Department of Veterans Affairs No. California Health Care System System,SNOTE,0726
Government Publishing Office,b635f974-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Customer Services Department,Jacket_400-445,Agency Publishing Services,PRESOL,0808
Defense Logistics Agency,b635f9dd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617TBN86,DLA Aviation - BSM,COMBINE  ,0711
Department of the Army,b635f913-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W9098S-17-T-0136,ACC - RI (W9098S) (JMTC-RIA),PRESOL,0711
Defense Logistics Agency,b635f99e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A717R1039,DLA Aviation - BSM,PRESOL,0627
Department of the Army,b635f981-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A114G0007ZB52,17,Defense Logistics Agency Detachment,SPRRA117R0063,DLA Aviation and Missile Command (Aviation),AWARD,0810
Defense Logistics Agency,b6795f1b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SP451017Q1028,DLA Disposition Services,COMBINE  ,0727
Department of Health and Human Services,b635f96a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,RFTOP-VSD-2017-09221,Procurement and Grants Office (Atlanta),FAIROPP,0726
Department of the Air Force,b679610d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,US Air Force Europe,F3N0527139A001,700 CONS,SNOTE,0804
Department of Veterans Affairs,b6795fc4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217Q1443,Department of Veterans Affairs,COMBINE  ,0719
Department of the Navy,b6796042-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0281,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Department of the Air Force,b635f8f2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA4855-17-P-0035,17,Air Force Special Operations Command,FA4855-17-T-0010,27 SOCONS,AWARD,0816
Department of the Army,b635f907-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W911QX-17-T-0237,ACC - APG (W911QX) Adelphi ,SRCSGT,0804
Defense Logistics Agency,b6795f58-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRPA113G001XU3C0,17,DLA Acquisition Locations,SPE7M117T5970,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b635f9be-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A6-17-R-0370,DLA Aviation - BSM,PRESOL,0307
Defense Logistics Agency,b6795f76-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE8EB17P1047,17,DLA Acquisition Locations,SPE8E917T0649,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Other Defense Agencies,b67960f2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Uniformed Services University of the Health Sciences,HU0001-17-Q-T345,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES (USUHS),COMBINE  ,0711
Department of the Navy,b6796058-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QYY33,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0719
Department of the Navy,b6796045-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0283,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Defense Logistics Agency,b6795f7a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8ED17Q0708,DLA Troop Support - Medical - BSM,COMBINE  ,0719
Department of the Navy,b6796057-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QND78,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0710
Department of the Navy,b6796024-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N40084-17-P-4015,17,Naval Facilities Engineering Command,N4008417T4015,"NAVFAC FAR EAST, FEAD CHINHAE",AWARD,0814
Department of the Interior,b679600e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,P17PC00376,17,National Park Service,null,NPS - All Offices,AWARD,0810
Department of Veterans Affairs,b679612f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,NNG15SD34B VA118-17-F-2179,17,VA Technology Acquisition Center,VA11817Q2227,VA Technology Acquisition Center,AWARD,0727
Defense Logistics Agency,b6795f7c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8ES17T5455,DLA Troop Support - Medical - BSM,COMBINE  ,0720
Defense Logistics Agency,b635f9a0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PJ734,17,DLA Acquisition Locations,SPE4A617TN663,DLA Aviation - BSM,AWARD,0810
National Aeronautics and Space Administration,b6795fd3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0150,Simplified Acquisitions,COMBINE  ,0728
Department of the Treasury,b635f940-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Bureau of Fiscal Service,TTB-40200-16-0059,Bureau of the Fiscal Service,COMBINE  ,0818
Other Defense Agencies,b635f989-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Department of Defense Education Activity,HE125417Q4015,DoDEA Headquarters Procurement Branch,COMBINE  ,0728
Department of the Navy,b6796033-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N64267-17-P-0161,17,Naval Sea Systems Command,N64267-17-T-0161,NSWC Corona Division,AWARD,0726
Department of the Interior,b6796007-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS01575,NPS - All Offices,PRESOL,0607
Department of the Navy,b679607e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRPA117RZ559,NAVSUP Weapon Systems Support Philadelphia PA,PRESOL,0809
Defense Logistics Agency,b6795f79-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE2DH17Q0285,DLA Troop Support - Medical - BSM,COMBINE  ,0714
Department of Veterans Affairs,b635f8fb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Albany VAMC,VA24217N0909,Department of Veterans Affairs Medical Center,SRCSGT,0719
Defense Logistics Agency,b635f993-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A6-17-X-1333,DLA Aviation - BSM,SRCSGT,0804
Department of the Interior,b679600a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,P17PX02405,17,National Park Service,null,NPS - All Offices,AWARD,0810
Department of the Interior,b635f943-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,A17PX01399,17,Bureau of Indian Affairs,null,BIA - DAPM,AWARD,0810
Department of Homeland Security,b67960fa-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-5AS110,USCG Surface Forces Logistics Center (SFLC) ,COMBINE  ,0803
Defense Logistics Agency,b6795f7b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8E917Q0265,DLA Troop Support - Medical - BSM,COMBINE  ,0719
Department of Veterans Affairs,b6795fb2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,VA24617N1608,Department of Veterans Affairs Medical Center,SRCSGT,0724
Department of Justice,b635f95a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Prisons,TLB20001,U.S. Medical Center for Federal Prisoners,SRCSGT,0718
Department of the Army,b635f920-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W911PT-17-Q-0105,ACC - WRN (W911PT)(WVA),COMBINE  ,0727
Department of Veterans Affairs,b6796127-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Office of Information Service Center,VA70117Q0166,Department of Veterans Affairs Office of Information Service Center,PRESOL,0616
Department of the Air Force,b635f8f8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,F3A13G7194AW01,87th CONS,SRCSGT,0731
Defense Logistics Agency,b6795f3c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L017P2564,17,DLA Acquisition Locations,null,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b6795f67-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5E817TD540,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Consumer Product Safety Commission,b635f98e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Division of Procurement Services,CPSC-Q-17-0093,Division of Procurement Services,COMBINE  ,0726
Defense Logistics Agency,b6795f44-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,DLA Acquisition Locations,SPE7LX-16-R-0192,DLA Land and Maritime - BSM,PRESOL,1019
Environmental Protection Agency,b6796092-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS-07F-383AA/EP-G176-00246,17,Office of Acquisition Management (OAM),null,Region VI,AWARD,0822
Department of Veterans Affairs,b6795fc1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Iowa City VAMC,VA26317Q0974,Department of Veterans Affairs Medical Center,SRCSGT,0721
Department of the Army,b635f91c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W56HZV17R0052,ACC - WRN (W56HZV)(DTA),COMBINE  ,0710
Defense Logistics Agency,b6795f73-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EK17TC238,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Department of the Air Force,b635f8cd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,F2X3B37195AW01,Maxwell AFB Contracting Squadron,SRCSGT,0803
Department of Agriculture,b679600f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Natural Resources Conservation Service,AG-SPEC-S-17-0046,Contracting Services Branch - Specialized,PRESOL,0619
Department of Veterans Affairs,b6795fae-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Hampton VAMC,null,Department of Veterans Affairs Medical Center,JA,0810
Department of the Navy,b679605e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117RYK32,NAVSUP Weapon Systems Support Mechanicsburg PA,JA,0815
Government Publishing Office,b635f8b6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Acquisition Services,GPO3029422,Acquisition Services,SNOTE,0817
Defense Logistics Agency,b6795f64-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE1C117P1430,17,DLA Acquisition Locations,SPE1C117Q0309,DLA Troop Support - Clothing  Textiles - BSM,AWARD,0810
Department of Veterans Affairs,b6795fdb-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Nashville VAMC,VA24917R0740,Department of Veterans Affairs Medical Center,COMBINE  ,0607
Department of the Navy,b6796017-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N00421-17-Q-0331,Naval Air Warfare Center Aircraft Division Pax River,COMBINE  ,0804
Defense Logistics Agency,b635f9e2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP470516D00060039,17,DLA Acquisition Locations,null,DLA Contracting Services Office,AWARD,0810
Department of the Navy,b635f971-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Commander in Chief, Atlantic Fleet",N6230617Q0004,Naval Oceanographic Office (NAVOCEANO),SNOTE,0421
Defense Logistics Agency,b6795f53-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M817P3290,17,DLA Acquisition Locations,SPE7M817T2356,DLA Land and Maritime - BSM,AWARD,0810
Department of the Treasury,b635f93f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Engraving and Printing,2031ZA17Q00038,Office of Acquisition,COMBINE  ,0711
Defense Logistics Agency,b635f99a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G00110854,17,DLA Acquisition Locations,SPE4A517TN510,DLA Aviation - BSM,AWARD,0810
Department of the Interior,b635f94b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00933,Colorado Region,COMBINE  ,0727
Department of Agriculture,b6795fa2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Forest Service,AG-03H6-S-17-0020,R-1 East Side Acquisition Team: Beaverhead-Deerlodge; Custer Gallatin; Helena; Lewis  Clark NFs; Dakota Prairie NG,COMBINE  ,0801
Department of the Air Force,b635f8c7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA4890-17-C-0013,17,Air Combat Command,FA4890-17-R-0009,AMIC CONTRACTING OFFICE,AWARD,0810
Department of the Navy,b6796047-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N6883617Q0220,NAVSUP Fleet Logistics Center Jacksonville Mayport Office,COMBINE  ,0820
Department of the Army,b635f909-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W9124A-17-P-0029,ACC - APG (W9124A) Fort Huachuca,SNOTE,0725
Department of Homeland Security,b6796103-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-40595,USCG Surface Forces Logistics Center (SFLC) Procurement Branch 2,COMBINE  ,0804
Defense Logistics Agency,b6795f3a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7M017P4753,17,DLA Acquisition Locations,SPE7M017T7965,DLA Land and Maritime - BSM,AWARD,0810
Department of the Air Force,b635f8f1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Special Operations Command,FA4855-17-R-0028,27 SOCONS,PRESOL,0726
Social Security Administration,b679609b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,GS-27F-0024V/SS01-17-30004,17,"Office of Budget, Finance, Quality and Management",null,Office of Acquisition and Grants,AWARD,0814
Department of Commerce,b6795fef-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),SB1341-17-RQ-0559,Acquisition Management Division,COMBINE  ,0801
Department of the Interior,b635f961-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Reclamation,R17PS01303,BOR - All Offices,PRESOL,0803
Department of the Navy,b679606b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0010415GA1011165,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Mechanicsburg PA,AWARD,0810
Department of State,b635f946-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of International Narcotics and Law Enforcement Affairs,SINLEC17IB006,"Grants, Acquisitions, Procurement and Policy Division (INL/RM/GAPP)",SRCSGT,0804
Department of the Interior,b635f942-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Indian Affairs,A17PS01150,BIA - DAPM,COMBINE  ,0807
Department of the Navy,b679603a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0025317Q0233,NUWC Keyport Division,COMBINE  ,0801
Defense Logistics Agency,b635f9d4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4AC17T0207,DLA Aviation - BSM,COMBINE  ,0718
Department of Energy,b635f8fc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Ames Laboratory ,A17-1837,Ames Laboratory,COMBINE  ,0801
Defense Logistics Agency,b635f9b1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDN97,DLA Aviation - BSM,COMBINE  ,0718
Department of the Navy,b635f970-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Commander in Chief, Atlantic Fleet",N6230617PR052NV,Naval Oceanographic Office (NAVOCEANO),COMBINE  ,0216
Department of the Air Force,b635f8c1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Combat Command,FA4819-17-Q-7006,325 CONS,COMBINE  ,0719
Department of Veterans Affairs,b679608f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA244-17-C-0201,17,Network Contracting Office 4,VA24417R0400,Veterans Integrated Service Network 4 Facilities,AWARD,0626
Defense Logistics Agency,b635f994-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A917Z0500,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Department of State,b6796093-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SAQMMA17C0232,17,Office of Acquisitions,SAQMMA17R0477,Acquisition Management,AWARD,0807
Defense Logistics Agency,b6795f68-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5EM17T9797,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0711
Department of the Army,b635f97a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4AX15D9423ZB46,17,Defense Logistics Agency Detachment,null,DLA Aviation and Missile Command (Aviation),AWARD,0810
Department of Health and Human Services,b6795fb8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Indian Health Service,17-247-SOL-00074,"Phoenix Area Office, Division of Acquisition Management",COMBINE  ,0710
Defense Logistics Agency,b635f990-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PC966,17,DLA Acquisition Locations,SPE4A717TH108,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f6f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G0003TS35,17,DLA Acquisition Locations,SPE5E817T8552,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Nuclear Regulatory Commission,b635f8b5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Acquisition Management Division,FHCC ,Acquisition Management Division,SNOTE,0802
Defense Logistics Agency,b635f9da-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PD385,17,DLA Acquisition Locations,SPE4A717TK106,DLA Aviation - BSM,AWARD,0810
Department of Health and Human Services,b635f966-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,2017-Q-67064-1,Procurement and Grants Office (Atlanta),COMBINE  ,0804
Defense Logistics Agency,b6795f24-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE60017P6179,17,DLA Acquisition Locations,null,DLA Energy,AWARD,0810
Department of Veterans Affairs,b67960a4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Orlando VAMC,VA24817Q1380,Department of Veterans Affairs Medical Center,COMBINE  ,0804
Department of the Army,b635f912-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W52P1J-17-R-3026,ACC - RI (W52P1J),PRESOL,0503
Defense Logistics Agency,b6795f52-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A116G00082446,17,DLA Acquisition Locations,SPE7M317T6038,DLA Land and Maritime - BSM,AWARD,0810
Department of the Army,b635f929-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",10975760,MICC - Fort Gordon,SRCSGT,0806
Pension Benefit Guaranty Corporation,b635f96d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Chief Management Officer,PBGC01-RP-17-0016,Procurement Department,PRESOL,0313
Defense Logistics Agency,b635f9dc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717C0463,17,DLA Acquisition Locations,SPE4A717R10130001,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f36-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7LX17X0026,DLA Land and Maritime - BSM,COMBINE  ,0719
Other Defense Agencies,b6795fdd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Geospatial-Intelligence Agency,Apigeeserv,OCSW - GEOINT/Enterprise Operations,SRCSGT,0804
General Services Administration,b67960c0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Public Buildings Service (PBS),5WY0057,R8 Rocky Mtn Region Acquisition Division (47PJ00),SRCSGT,0720
Department of the Air Force,b635f8dd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA8601-17-T-0199,AFLCMC/PZIO - WPAFB,COMBINE  ,0727
Department of Veterans Affairs,b67960a5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Orlando VAMC,VA24817Q0899,Department of Veterans Affairs Medical Center,PRESOL,0714
Other Defense Agencies,b635f979-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Advanced Research Projects Agency,DARPA-SN-17-62,Contracts Management Office,SNOTE,0717
Department of the Navy,b679607d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038317PF296,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of Homeland Security,b67960f8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG4517QPKB102,USCG Base Kodiak,COMBINE  ,0725
Department of the Navy,b679603e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPMYM217Q2675,DLA Maritime PSNS,COMBINE  ,0730
Department of Homeland Security,b67960f5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG38-17-Q-200222,"Commanding Officer, USCG Aviation Logistics Center",COMBINE  ,0801
Department of the Interior,b635f94d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00865,Idaho Region,COMBINE  ,0720
Department of the Army,b635f924-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, ECC",W90VN6-17-R-0037,411TH CSB (W90VN6) RCO OSAN,COMBINE  ,0717
Department of the Interior,b6795fba-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Interior Business Center,D17PS00762,AQD - Washington D.C.,PRESOL,0731
Department of Veterans Affairs,b6796128-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Rocky Mountain Consolidated Contracting Center,VA25917N0862,Department of Veterans Affairs,SRCSGT,0721
Defense Logistics Agency,b635f9b6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1317,DLA Aviation - BSM,PRESOL,0808
National Aeronautics and Space Administration,b6795fd6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0230,Simplified Acquisitions,SRCSGT,0807
Environmental Protection Agency,b6796091-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Acquisition Management (OAM),RFQ-IL-17-00018,Region V,COMBINE  ,0811
Department of the Army,b635f90b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W15QKN17R0115,ACC - NJ (W15QKN),PRESOL,0726
